bp_label,egi_nearest_1,egi_nearest_2,egi_nearest_3,egi_nearest_4,egi_nearest_5,egi_nearest_6,egi_nearest_7,egi_nearest_8,egi_nearest_9,egi_nearest_10,egi_nearest_11,egi_nearest_12,egi_nearest_13,egi_nearest_14,egi_nearest_15,egi_nearest_16,egi_nearest_17,egi_nearest_18,egi_nearest_19,egi_nearest_20
C5,E40,E39,E34,T7,E46,E41,F7,E35,E50,E47,E44,E51,E27,E28,E38,C3,LM,E42,P7,E32
C1,E30,E31,E37,E7,E13,C3,E29,Cz,E54,E55,E53,E6,E42,E20,E106,E35,E12,E28,E61,E41
C2,E105,E80,E87,E106,E112,C4,E111,Cz,E79,E55,E86,E6,E93,E118,E7,E110,E5,E117,E78,E103
C6,E109,E115,E116,T8,E102,E103,F8,E110,E101,E98,E114,E97,E123,E117,E121,C4,RM,E93,P8,E1
TP7,LM,E56,T7,E63,E44,E50,E64,E49,E39,P7,E43,E68,E38,E46,E40,E69,E48,E65,E128,E51
CP3,P3,E42,E47,E41,E53,E51,E60,E46,C3,E59,E37,E35,E40,E61,E66,E54,E30,E50,P7,E29
CPz,E55,E54,E79,Cz,E31,E80,E78,E61,Pz,E7,E106,E37,E87,E53,E86,E77,E67,E72,E30,E105
CP4,P4,E93,E98,E103,E86,E97,E85,E102,C4,E91,E87,E110,E109,E78,E84,E79,E105,E101,P8,E111
TP8,RM,E107,T8,E99,E114,E101,E95,E113,E115,P8,E120,E94,E121,E102,E109,E89,E119,E90,E125,E97
P5,P7,E65,E50,E64,E51,E59,LM,T7,E69,O1,E66,E46,E47,P3,E60,E68,E63,E40,E39,E74
P1,E67,E60,E61,E66,E71,E72,Pz,E53,E59,E54,P3,E77,E76,O1,E51,E37,E65,E42,Oz,E78
P2,E77,E85,E78,E84,E76,E72,Pz,E86,E91,E79,P4,E67,E71,O2,E87,E97,E90,E93,Oz,E61
P6,P8,E90,E101,E95,E97,E91,RM,T8,E89,O2,E84,E102,E98,P4,E85,E94,E99,E109,E115,E82
PO7,E69,E64,E68,E65,E73,E63,E74,P7,LM,O1,E50,E81,E56,E59,E66,E82,Oz,T7,E51,E71
PO3,O1,E65,E66,Oz,E71,E69,E74,E59,P7,E64,E67,E72,E82,E60,E76,E73,E51,E50,E68,E81
POz,Oz,E71,E76,E72,O1,O2,E77,E67,E66,E84,E74,E82,Pz,E65,E90,E69,E89,E60,E85,E91
PO4,O2,E90,E84,Oz,E76,E89,E82,E91,P8,E95,E77,E72,E74,E85,E71,E88,E97,E101,E94,E81
PO8,E89,E95,E94,E90,E88,E99,E82,P8,RM,O2,E101,E81,E107,E91,E84,E74,Oz,T8,E97,E76
